ITEM;['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '120', '121', '122', '123', '124', '125', '126', '127', '128', '129', '130', '131', '132', '133', '134', '135', '136', '137', '138', '139', '140', '141', '142', '143', '144', '145', '146', '147', '148', '149', '150', '151', '152', '153', '154', '155', '156', '157', '158', '159', '160', '161', '162', '163', '164', '165', '166', '167', '168', '169', '170', '171', '172', '173', '174', '175', '176', '177', '178', '179', '180', '181', '182', '183', '184', '185', '186', '187', '188', '189', '190', '191', '192', '193', '194', '195', '196', '197', '198', '199']
PESO;['79', '78', '66', '40', '57', '80', '46', '50', '30', '49', '75', '31', '48', '38', '57', '63', '58', '27', '63', '71', '21', '80', '45', '28', '56', '28', '62', '34', '45', '34', '35', '33', '22', '38', '34', '34', '72', '36', '71', '56', '70', '43', '68', '70', '62', '62', '27', '29', '80', '69', '63', '47', '29', '69', '68', '76', '56', '36', '31', '30', '68', '79', '44', '70', '41', '56', '41', '38', '53', '73', '64', '25', '22', '28', '34', '30', '49', '48', '64', '67', '27', '65', '37', '33', '32', '24', '34', '52', '63', '76', '35', '53', '67', '66', '53', '38', '36', '36', '57', '31', '44', '80', '73', '61', '80', '53', '25', '32', '76', '45', '65', '77', '35', '77', '65', '63', '80', '77', '22', '51', '58', '56', '29', '72', '27', '20', '29', '71', '53', '38', '23', '60', '26', '49', '42', '56', '33', '24', '73', '32', '41', '42', '35', '70', '79', '53', '35', '61', '38', '43', '23', '76', '25', '47', '31', '76', '42', '30', '80', '63', '66', '74', '45', '46', '80', '73', '32', '77', '23', '25', '47', '60', '43', '51', '75', '21', '73', '43', '37', '76', '25', '79', '76', '25', '37', '78', '37', '43', '53', '24', '51', '58', '22', '27', '52', '23', '59', '34', '56', '77']
VALOR;['892', '875', '742', '347', '463', '764', '549', '456', '271', '572', '711', '356', '415', '397', '569', '655', '665', '297', '624', '643', '247', '646', '470', '232', '595', '279', '738', '399', '439', '388', '373', '312', '188', '359', '302', '384', '845', '323', '786', '654', '579', '510', '619', '761', '524', '591', '321', '236', '752', '572', '655', '552', '243', '799', '584', '896', '625', '374', '250', '323', '783', '841', '382', '600', '333', '523', '361', '304', '599', '863', '515', '281', '178', '238', '407', '356', '416', '445', '537', '635', '258', '520', '421', '357', '379', '231', '362', '552', '637', '658', '314', '581', '600', '655', '518', '339', '398', '427', '655', '370', '416', '798', '618', '511', '843', '567', '206', '256', '628', '527', '674', '732', '413', '729', '520', '735', '800', '898', '205', '445', '481', '653', '279', '824', '242', '220', '289', '756', '492', '319', '239', '491', '301', '448', '346', '474', '364', '193', '677', '341', '377', '433', '315', '800', '827', '593', '381', '616', '414', '408', '190', '755', '274', '393', '358', '832', '414', '282', '910', '706', '672', '727', '501', '414', '695', '635', '276', '695', '217', '277', '521', '651', '468', '559', '895', '248', '874', '350', '425', '692', '292', '728', '645', '223', '412', '780', '336', '350', '499', '213', '552', '492', '223', '298', '581', '267', '506', '342', '649', '820']
CAPACIDADES;['1189', '823', '847', '942', '1135', '1155']
QTD_ITENS;200
QTD_MOCHILAS;6
0;['1', '1', '1', '1', '1', '1', '0', '1', '1', '0', '0', '1', '0', '1', '1', '1', '1', '1', '0', '1', '0', '1', '1', '1', '1', '1', '0', '1', '1', '1', '0', '0', '1', '0', '1', '0', '0', '0', '1', '1', '0', '1', '0', '0', '1', '1', '1', '1', '0', '0', '1', '1', '1', '1', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '1', '0', '1', '0', '1', '0', '1', '1', '0', '1', '1', '0', '0', '0', '1', '0', '0', '0', '1', '1', '1', '1', '0', '1', '1', '1', '0', '1', '1', '0', '0', '1', '1', '1', '0', '0', '1', '1', '1', '0', '0', '1', '1', '1', '1', '1', '1', '1', '0', '1', '1', '0', '1', '0', '1', '0', '0', '0', '1', '0', '1', '1', '0', '0', '0', '1', '0', '0', '1', '0', '1', '0', '1', '1', '0', '1', '0', '0', '1', '0', '0', '0', '1', '1', '1', '0', '0', '1', '0', '0', '1', '0', '1', '1', '1', '1', '0', '1', '1', '1', '0', '1', '1', '0', '1', '1', '1', '1', '1', '1', '1', '1', '1', '0', '1', '1', '1', '0', '0', '0', '1', '0', '1', '1', '1', '1', '1', '0', '0', '0']
1;['1', '1', '0', '0', '1', '1', '0', '1', '0', '1', '1', '1', '1', '0', '1', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '1', '1', '1', '0', '0', '1', '1', '1', '1', '1', '0', '0', '1', '0', '1', '1', '1', '1', '1', '1', '1', '1', '1', '0', '1', '1', '1', '1', '1', '0', '1', '1', '0', '1', '1', '1', '1', '0', '1', '0', '1', '0', '0', '1', '1', '0', '1', '0', '0', '1', '0', '1', '0', '1', '0', '0', '1', '1', '1', '0', '1', '1', '1', '1', '1', '1', '1', '0', '0', '0', '1', '0', '1', '1', '1', '1', '0', '1', '1', '1', '1', '1', '1', '1', '0', '1', '1', '0', '0', '0', '1', '0', '1', '1', '1', '1', '0', '0', '1', '1', '1', '1', '0', '1', '1', '0', '0', '1', '0', '1', '1', '1', '1', '0', '0', '1', '0', '0', '1', '1', '0', '0', '1', '1', '1', '1', '0', '0', '1', '0', '0', '0', '1', '1', '0', '1', '0', '0', '0', '0', '0', '1', '1', '0', '0', '1', '1', '1', '1', '0', '1', '1', '1', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '1', '0', '1']
2;['1', '0', '1', '1', '0', '1', '1', '1', '0', '1', '1', '0', '1', '1', '0', '0', '1', '1', '1', '1', '0', '1', '0', '1', '1', '0', '1', '1', '1', '1', '1', '1', '0', '1', '1', '0', '0', '1', '1', '1', '0', '0', '0', '1', '0', '0', '1', '0', '1', '0', '1', '1', '1', '1', '1', '1', '0', '0', '0', '1', '1', '1', '0', '1', '1', '1', '0', '1', '0', '1', '1', '0', '1', '0', '0', '1', '0', '1', '1', '1', '1', '1', '0', '0', '1', '1', '0', '1', '1', '1', '1', '0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '1', '1', '0', '1', '0', '1', '1', '0', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '0', '0', '1', '0', '0', '1', '1', '0', '1', '1', '1', '1', '1', '0', '0', '1', '1', '0', '0', '0', '1', '1', '1', '1', '1', '0', '1', '0', '0', '1', '0', '0', '1', '0', '0', '1', '1', '0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '0', '1', '1', '1', '1', '0', '0', '1', '0', '1', '0', '1', '1', '0', '1', '1', '1', '1', '0', '1', '1', '1', '0', '1', '1', '1', '1', '1', '0', '1', '1', '1']
3;['1', '0', '1', '1', '1', '0', '1', '1', '1', '1', '1', '1', '1', '1', '0', '1', '0', '0', '1', '1', '1', '0', '1', '1', '1', '0', '1', '0', '1', '0', '1', '1', '1', '1', '1', '1', '1', '0', '1', '1', '1', '0', '1', '0', '1', '0', '1', '0', '0', '1', '0', '1', '1', '1', '0', '0', '0', '1', '1', '1', '1', '0', '0', '0', '0', '0', '1', '1', '1', '1', '1', '1', '1', '1', '1', '0', '1', '0', '1', '0', '0', '0', '1', '0', '1', '1', '1', '1', '1', '0', '1', '0', '1', '1', '0', '1', '0', '1', '1', '1', '0', '1', '0', '1', '0', '1', '1', '1', '0', '1', '0', '0', '0', '0', '1', '1', '0', '1', '0', '1', '1', '0', '1', '0', '0', '1', '1', '0', '1', '0', '1', '0', '1', '0', '1', '1', '0', '0', '1', '1', '1', '1', '0', '0', '1', '1', '0', '1', '0', '1', '1', '1', '1', '0', '1', '0', '1', '1', '1', '0', '1', '1', '0', '1', '1', '1', '0', '1', '1', '0', '0', '0', '1', '0', '1', '1', '1', '1', '0', '1', '1', '0', '1', '1', '1', '0', '0', '1', '0', '1', '1', '1', '1', '0', '1', '1', '0', '0', '1', '1']
